Frame,Class,Count
0,truck,2
0,car,7
1,truck,1
1,boat,1
1,car,7
2,truck,1
2,car,6
3,truck,1
3,car,7
4,truck,1
4,car,7
5,truck,1
5,car,7
6,truck,1
6,car,7
7,truck,1
7,bus,1
7,car,6
8,truck,1
8,car,6
9,truck,1
9,car,7
10,truck,1
10,car,7
11,truck,1
11,car,7
12,truck,1
12,car,6
13,truck,2
13,car,6
14,truck,3
14,car,6
15,truck,1
15,car,6
16,truck,1
16,car,7
17,truck,1
17,car,6
18,truck,1
18,car,6
19,truck,1
19,car,6
20,truck,1
20,car,6
21,truck,1
21,car,6
22,truck,1
22,car,6
23,truck,2
23,car,5
24,truck,1
24,car,6
25,truck,1
25,car,7
26,truck,2
26,car,7
27,truck,2
27,car,6
28,truck,1
28,bus,1
28,car,6
29,truck,2
29,bus,1
29,car,6
30,truck,1
30,bus,1
30,car,6
31,truck,1
31,bus,1
31,car,6
32,truck,1
32,bus,1
32,car,6
33,truck,1
33,bus,1
33,car,7
34,truck,1
34,bus,2
34,car,6
35,truck,1
35,bus,2
35,car,8
36,truck,1
36,car,7
37,truck,1
37,bus,1
37,car,8
38,truck,1
38,bus,2
38,car,8
39,truck,1
39,car,8
40,truck,1
40,car,8
41,truck,1
41,bus,1
41,car,8
42,truck,1
42,bus,1
42,car,9
43,truck,1
43,car,8
44,truck,1
44,car,7
45,truck,1
45,car,8
46,truck,1
46,car,9
47,truck,1
47,car,8
48,truck,1
48,car,9
49,truck,1
49,car,8
50,truck,1
50,car,9
51,truck,1
51,car,10
52,truck,1
52,car,9
53,truck,1
53,car,9
54,truck,1
54,car,10
